command,mean,stddev,median,user,system,min,max,parameter_i
./argonload -i 1,0.029761740368108105,0.0055864360940626615,0.02890294926,0.01678643837837838,0.012704959099099104,0.02171170926,0.04253656126,1
./argonload -i 2,0.04802853671588236,0.008437890028635084,0.04709949576,0.03526107470588235,0.012701317941176472,0.03426319826,0.06969916026000002,2
./argonload -i 5,0.10015504572428571,0.011983025453853774,0.10059142576000002,0.08712266714285712,0.012372431428571428,0.08216128226000001,0.12080047026000001,5
./argonload -i 10,0.18748701479846153,0.022377489773121224,0.18296875726,0.17240706,0.013047475384615382,0.16304794326,0.23911060626,10
./argonload -i 20,0.34701399986000003,0.027313844612432754,0.34513723476,0.3329494599999999,0.01351056,0.30397959926000007,0.39480096126,20
./argonload -i 50,0.8411149769600001,0.05543742084813871,0.8268286692600001,0.82774186,0.013071959999999999,0.77953598026,0.96418373426,50
./argonload -i 100,1.7567184375599996,0.06488691900300135,1.7375923282599999,1.74360946,0.01228046,1.67896685626,1.8618514102600001,100
./argonload -i 200,3.4173110424599997,0.10770852829918928,3.43509818226,3.40109066,0.01578686,3.1753452112600002,3.53862638226,200
